"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","User Management","0","Authorization","1","0","Successful authorization","0"
"0","Shopping cart","0","Cart operations","1","0","Remove product","0"
"0","Order Processing","0","Checkout","1","0","Successful checkout","0"
"0","Product Catalog","0","Product Search","1","0","Search products","0"
"0","User Management","0","Authorization","1","0","Failed authorization","0"
"0","Product Catalog","0","Product Review","1","0","Add product review","0"
"0","Shopping cart","0","Cart operations","2","0","Add product","0"
"0","Product Catalog","0","Product Details","1","0","View product details","0"
"0","interactions","0","Subscription","1","0","Cart subscription","0"
"0","User Management","0","Logout","1","0","Successful logout","0"
"0","User Management","0","Registration","1","0","Successful registration","0"
"0","Order Processing","0","Checkout","1","0","Download invoice after checkout","0"
"0","Order Processing","0","Checkout","1","0","Checkout after Login","0"
"0","Navigation","0","Scroll","1","0","Scroll to top","0"
"0","Product Catalog","0","Product Listing","1","0","View product list","0"
"0","interactions","0","Subscription","1","0","Home subscription","0"
"0","interactions","0","Contact","1","0","Successful feedback","0"
"0","Shopping cart","0","Cart State","1","0","Cart consistent","0"
"0","User Management","0","Registration","1","0","Failed registration","0"
"0","Order Processing","0","Checkout","1","0","Checkout with Registration","0"
