"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3800","Check the visibility of all product cards from the list","Product Catalog","Tue Sep 16 09:19:29 UTC 2025","passed","Tue Sep 16 09:19:33 UTC 2025","View product list","Product Listing","",""
"","10127","Registration while checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 09:19:14 UTC 2025","passed","Tue Sep 16 09:19:24 UTC 2025","TestCheckout","Checkout","",""
"","4281","Checking adding products to the cart with an id: {added_product_ids} and quantity: 3","Shopping cart","Tue Sep 16 09:19:05 UTC 2025","passed","Tue Sep 16 09:19:09 UTC 2025","Add product","Cart operations","",""
"","3391","Correct logout of account","User Management","Tue Sep 16 09:18:58 UTC 2025","passed","Tue Sep 16 09:19:02 UTC 2025","Successful logout","Logout","",""
"","6568","Checking the download invoice after checkout with products with an id: [1, 5]","Order Processing","Tue Sep 16 09:19:16 UTC 2025","passed","Tue Sep 16 09:19:22 UTC 2025","TestCheckout","Checkout","",""
"","2669","Check product details with id 1","Product Catalog","Tue Sep 16 09:19:27 UTC 2025","passed","Tue Sep 16 09:19:30 UTC 2025","View product details","Product Details","",""
"","4307","Checking adding products to the cart with an id: [1, 2]","Shopping cart","Tue Sep 16 09:19:00 UTC 2025","passed","Tue Sep 16 09:19:04 UTC 2025","Add product","Cart operations","",""
"","876","Registration with existing email","User Management","Tue Sep 16 09:18:58 UTC 2025","passed","Tue Sep 16 09:18:59 UTC 2025","Failed registration","Registration","",""
"","6693","Login before checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 09:19:19 UTC 2025","passed","Tue Sep 16 09:19:25 UTC 2025","TestCheckout","Checkout","",""
"","687","Checking event subscriptions on the cart page","interactions","Tue Sep 16 09:19:27 UTC 2025","passed","Tue Sep 16 09:19:28 UTC 2025","Cart subscription","Subscription","",""
"","983","Checking event subscriptions on the home page","interactions","Tue Sep 16 09:19:23 UTC 2025","passed","Tue Sep 16 09:19:24 UTC 2025","Home subscription","Subscription","",""
"","4314","User login with correct email and password","User Management","Tue Sep 16 09:18:58 UTC 2025","passed","Tue Sep 16 09:19:03 UTC 2025","Successful authorization","Authorization","",""
"","1852","Checking the success of sending a feedback","interactions","Tue Sep 16 09:19:26 UTC 2025","passed","Tue Sep 16 09:19:28 UTC 2025","Successful feedback","Contact","",""
"","7103","Checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 09:19:10 UTC 2025","passed","Tue Sep 16 09:19:17 UTC 2025","Successful checkout","Checkout","",""
"","1672","Adding a review to a product with an id 1","Product Catalog","Tue Sep 16 09:19:31 UTC 2025","passed","Tue Sep 16 09:19:32 UTC 2025","Add product review","Product Review","",""
"","6941","Checking the identity of the cart before and after logging","Shopping cart","Tue Sep 16 09:19:06 UTC 2025","passed","Tue Sep 16 09:19:13 UTC 2025","Cart consistent","Cart State","",""
"","6578","Registration with correct data","User Management","Tue Sep 16 09:19:03 UTC 2025","passed","Tue Sep 16 09:19:10 UTC 2025","Successful registration","Registration","",""
"","3733","Checking remove product from cart","Shopping cart","Tue Sep 16 09:19:11 UTC 2025","passed","Tue Sep 16 09:19:15 UTC 2025","Remove product","Cart operations","",""
"","4041","Search products with a search query: ""top""","Product Catalog","Tue Sep 16 09:19:28 UTC 2025","passed","Tue Sep 16 09:19:32 UTC 2025","TestProductSearch","Product Search","",""
"","1298","User login with wrong email and password","User Management","Tue Sep 16 09:19:04 UTC 2025","passed","Tue Sep 16 09:19:05 UTC 2025","Failed authorization","Authorization","",""
"","1378","Check the correct operation of the scroll to the top of the page","Navigation","Tue Sep 16 09:19:25 UTC 2025","passed","Tue Sep 16 09:19:26 UTC 2025","Scroll to top","Scroll","",""
